Name,Address,Country,Age,Status,Date,Gender,Q1,Q2,Q3,Q4,Q5
Nicolas Durham,"4 Blackwater Rd, Newtownabbey BT36 4TZ, UK",IRL,47,Improved,01/15/2019,M,1,4,4,2,3
Kade Duke,"41 Blairmont Rd, Armagh BT60 2LZ, UK",IRL,78,Improved,01/15/2018,F,1,4,5,5,5
Lauryn Duarte,"1-5 Clachan Bride, Omagh BT79 8QH, UK",IRL,80,Improved,01/15/2019,M,2,1,5,5,4
Yandel Huang,"4 Meadowbank Ct, Newtownabbey BT37 0FF, UK",US,51,Improved,01/15/2019,F,2,1,3,4,3
Mohamed Cox,"42 High St, Belfast BT1 2BE, UK",US,30,Improved,01/15/2019,M,3,4,3,4,4
Kenyon Martin,"6 Struell Cl, Downpatrick BT30 6GR, UK",IRL,31,Excellent,01/15/2018,F,3,3,3,2,1
Alison Smith,"11 Kearney Rd, Portaferry, Newtownards BT22 1QG, UK",US,85,Poor,01/15/2018,M,3,5,4,1,3
Angel Calhoun,"4 Glenaan Ct, Bangor BT20 4SL, UK",US,71,Poor,01/15/2018,M,4,3,3,3,4
Braxton Richardson,"9 Mountain Rd, Ballynahinch BT24 8QT, UK",US,61,Poor,01/15/2018,M,5,4,3,3,3
Ana Hendrix,"11 Richmond Ave, Ballymoney BT53 7BF, UK",IRL,43,Excellent,01/15/2019,F,4,3,4,2,4
Danika Stephenson,"3 Edgar Boyd Ct, Carryduff, Belfast BT8 8PR, UK",US,58,Poor,01/15/2018,M,2,4,3,3,1
Joslyn Coffey,"1 Hazelview, Bangor BT19 7YS, UK",US,58,Excellent,01/15/2019,M,4,5,3,3,1
Cadence Harding,"95 A2, Larne BT40, UK",US,34,Poor,01/15/2018,M,1,1,3,4,5
Nolan Forbes,"87 Main St, Greyabbey, Newtownards BT22 2NF, UK",IRL,85,Poor,01/15/2019,F,4,1,1,3,1
Alisson Le,"65 Carlingford St, Belfast BT6 8NE, UK",US,69,Excellent,01/15/2018,F,2,2,5,4,5
Laney Santiago,"Unnamed Road, Enniskillen BT92 6BP, UK",US,39,Improved,01/15/2018,F,2,5,4,4,5
Aniyah Stevenson,"1 Fairgreen Ave, Keady, Armagh BT60 3UQ, UK",IRL,29,Improved,01/15/2018,F,2,5,2,3,1
Ezequiel Hendricks,"25 Mullaghsandall Rd, Larne BT40 2LU, UK",US,46,Excellent,01/15/2018,F,4,3,2,2,3
Alivia Stone,"4 Milltown Row, Belfast BT12 6EU, UK",IRL,33,Poor,01/15/2018,M,2,1,2,4,5
Mariah Charles,"4 Molesworth Ct, Cookstown BT80 8XF, UK",IRL,30,Improved,01/15/2018,M,2,4,3,2,5
Zachariah Horn,"17 Bay Park, Larne BT40 1BZ, UK",US,41,Poor,01/15/2019,F,4,3,5,2,4
Kaydence Silva,"Markethill Rd, Armagh BT60 1QP, UK",IRL,63,Improved,01/15/2018,M,5,4,2,5,3
Marquis Montoya,"278 Ormeau Rd, Belfast BT7 2GB, UK",IRL,69,Improved,01/15/2018,F,4,2,4,5,3
Aliana Ortiz,"22 Coolshinney Heights, Magherafelt BT45 5JH, UK",US,75,Poor,01/15/2018,M,5,1,3,4,3
Harper Bautista,"135 Queensway, Lisburn BT27 4QS, UK",US,70,Improved,01/15/2018,M,1,1,1,1,2
Nasir Leach,"19 Smeaton Park, Moira, Craigavon BT67 0NF, UK",IRL,61,Excellent,01/15/2019,F,3,4,4,1,4
Landen Holmes,"42 Corcreechy Rd, Newry BT34 1LR, UK",US,67,Excellent,01/15/2019,F,3,5,5,1,3
Sariah Pennington,"Summerhill, Enniskillen BT94 2HH, UK",IRL,41,Excellent,01/15/2018,F,5,3,1,4,4
Amiyah Ayers,"160-166 Lower Dromore Rd, Warrenpoint, Newry BT34, UK",US,73,Excellent,01/15/2018,M,1,4,5,5,3
Shawn Mosley,"478 Castlereagh Rd, Belfast BT5 6BQ, UK",IRL,54,Poor,01/15/2019,F,5,1,1,4,3
Nikolas Oconnor,"15 Waterside, Lisburn BT28 1YH, UK",US,71,Improved,01/15/2019,F,1,2,2,4,5
Juliette Gonzales,"9 Knocklands Ct, Ballymoney BT53 6LN, UK",IRL,64,Excellent,01/15/2019,M,4,4,3,4,1
Peyton Booker,"112 Lough Fea Rd, Cookstown BT80 9ST, UK",IRL,73,Improved,01/15/2019,M,4,1,2,2,1
Jaydon Booth,"Unnamed Road, Enniskillen BT74 8BF, UK",IRL,38,Poor,01/15/2018,M,1,3,4,2,5
Roger Miller,"3 Beagh Cottages, Maghera BT46 5EP, UK",US,71,Improved,01/15/2019,M,1,2,2,1,3
Clara Byrd,"6 Ferndale Rd, Derry BT48 8RB, UK",IRL,49,Poor,01/15/2018,F,2,4,5,5,1
Jaquan Gibbs,"3 Quay Ln, Downpatrick BT30, UK",US,79,Improved,01/15/2018,M,1,3,5,5,2
Jeremy Harrison,"9 Trench Rd, Newtownabbey BT36 4TY, UK",IRL,61,Improved,01/15/2019,F,2,1,5,4,3
Carlos Crosby,"25 Egeria St, Belfast BT12 5PN, UK",IRL,27,Poor,01/15/2018,F,2,1,1,3,2
Weston Holden,"6 The Paddock, Lisburn BT28 2YD, UK",US,77,Poor,01/15/2018,M,1,1,4,2,2
Mina Ramsey,"11 Grange Park, Dunmurry, Belfast BT17 0AN, UK",IRL,42,Excellent,01/15/2019,F,5,1,5,3,4
Ethen Stokes,"1-3 The Woods, Larne BT40 1TU, UK",IRL,48,Poor,01/15/2019,F,5,5,3,1,3
Philip Mcguire,"8 Green Rd, Ardglass, Downpatrick BT30 7UA, UK",US,31,Improved,01/15/2018,M,1,3,4,2,4
Hugo Barajas,"40 Foxhill Road, Enniskillen BT94 2PE, UK",US,77,Excellent,01/15/2018,M,1,2,1,5,3
Darryl Moon,"72 Upper Movilla St, Newtownards BT23 8JP, UK",IRL,39,Excellent,01/15/2019,F,4,1,1,1,3
Noel Lyons,"1 Links Cres, Portaferry, Newtownards BT22 1PT, UK",IRL,74,Improved,01/15/2018,M,4,2,2,3,1
Jeramiah Conrad,"95 Eglantine Ave, Belfast BT9 6EX, UK",IRL,43,Excellent,01/15/2019,F,3,4,3,4,5
Evie Hubbard,"8 Farlough Rd, Craigavon BT62, UK",IRL,67,Improved,01/15/2019,F,4,1,3,4,3
Kelsey Mcfarland,"86 Sherrigrim Rd, Dungannon BT71 4BX, UK",IRL,50,Improved,01/15/2018,M,5,3,3,2,3
Nylah Lowery,"12-16 St John's Cres, Portadown, Craigavon BT62 1EG, UK",IRL,37,Excellent,01/15/2018,M,3,1,5,2,4
Savannah Gross,"13 Halstein Dr, Belfast BT5 6JQ, UK",IRL,44,Improved,01/15/2018,F,2,1,1,1,5
Amare Mcmahon,"7 Pinehill Rd, Belfast BT8 8LA, UK",US,63,Excellent,01/15/2018,M,5,4,1,5,1
Laila Garrison,"6 Glenvarna Green, Glengormley, Newtownabbey BT36 5JF, UK",IRL,66,Poor,01/15/2018,M,2,3,1,4,4
Estrella Hunt,"56 B80, Enniskillen BT94, UK",IRL,46,Excellent,01/15/2018,F,3,5,3,5,3
Bruno Ruiz,"67-73 Windsor Ave, Coleraine BT52 2DS, UK",US,49,Poor,01/15/2018,M,1,4,2,5,5
Dax Ashley,"Church Cres, Newtownabbey BT37 9BL, UK",IRL,48,Excellent,01/15/2018,F,3,1,1,2,2
Sanaa Buck,"31-37 Killyliss Rd, Dungannon BT70 1QQ, UK",US,72,Poor,01/15/2018,M,5,1,4,1,1
Sam Monroe,"8 Madison Ave, Belfast BT15 5BX, UK",IRL,67,Poor,01/15/2019,F,1,4,1,2,5
Chana Lin,"35 Church Square, Banbridge BT32 4AP, UK",IRL,29,Improved,01/15/2019,M,2,5,2,3,2
Ryker Klein,"Madam's Bank Rd, Derry BT47, UK",US,59,Excellent,01/15/2018,M,3,4,5,5,5
Mya Stanton,"Unnamed Road, Enniskillen BT94 3LN, UK",IRL,51,Excellent,01/15/2018,F,3,2,5,4,5
Irvin Mcbride,"33 Orangefield Parade, Belfast BT5 6DE, UK",US,73,Excellent,01/15/2018,M,3,1,5,1,1
Nataly Franco,"8 Granville Manor, Kells, Ballymena BT42 3JE, UK",IRL,78,Improved,01/15/2018,M,5,5,3,4,5
Jace Montes,"1-5 Milltown Rd, Omagh BT78, UK",US,54,Improved,01/15/2019,F,5,4,4,3,4
Kianna Morse,"20 Ormeau Embankment, Belfast BT6, UK",US,33,Poor,01/15/2018,F,3,3,4,4,5
Enzo Gillespie,"2 Priory Manor, Holywood BT18 0LD, UK",US,41,Poor,01/15/2018,M,5,2,2,1,5
Cooper Bradford,"2 Station Rd, Antrim BT41 1BH, UK",US,52,Improved,01/15/2019,M,1,4,1,3,4
Cassie Steele,"19 Karrington Heights, Dundonald, Belfast BT16 1XZ, UK",IRL,50,Excellent,01/15/2019,F,3,4,5,3,1
Ace Patrick,"15 River Hill Dr, Newtownards BT23 7GU, UK",US,32,Excellent,01/15/2018,F,1,3,2,3,3
Charity Clarke,"174 Main Rd, Cloughey, Newtownards BT22 1JA, UK",IRL,61,Improved,01/15/2019,M,2,5,3,5,5
Ronald Watts,"150 Strand Rd, Derry BT48 7PT, UK",US,26,Poor,01/15/2018,F,2,3,3,1,5
Olive Lester,"20 Shaw St, Belfast BT4 1PT, UK",IRL,59,Poor,01/15/2019,M,5,2,4,3,5
Maeve Ramirez,"14A Newry Rd, Forkhill, Newry BT35 9RN, UK",IRL,59,Improved,01/15/2018,F,4,4,4,5,2
Chris Castillo,"4 Laurel Ln, Holywood BT18 0JT, UK",US,66,Poor,01/15/2019,M,3,1,3,4,4
Alden Baxter,"93-95 Bloomfield Rd, Bangor BT20 4XB, UK",US,52,Poor,01/15/2019,F,2,1,2,1,2
Amaya Phillips,"Beechill Grove, Belfast BT8 7QS, UK",US,42,Poor,01/15/2019,F,4,2,5,2,3
Ryann Horne,"23 Ramone Park, Portadown, Craigavon BT63 5JF, UK",US,26,Improved,01/15/2018,F,1,5,2,2,3
Taliyah Kramer,"24 Kilcronagh Rd, Cookstown BT80 9HG, UK",IRL,70,Poor,01/15/2019,F,1,1,1,4,3
Garrett Mccann,"29 A29, Magherafelt BT45 5LL, UK",US,69,Improved,01/15/2019,F,4,3,1,4,2
Brett Bond,"31 Carnacally Rd, Newry BT34, UK",IRL,39,Improved,01/15/2018,M,3,1,4,1,5
Jesse Pugh,"81 Almond Dr, Dunmurry, Belfast BT17 0DG, UK",IRL,54,Improved,01/15/2018,M,1,1,3,2,4
Arianna Cain,"52 Claragh Rd, Clough, Downpatrick BT30 8RG, UK",IRL,36,Poor,01/15/2018,F,2,1,2,4,3
Gina Stafford,"39 Ballyknockan Rd, Newtownards BT23 6NR, UK",US,46,Excellent,01/15/2019,M,4,1,1,4,3
Tamia Elliott,"14 Pilot St, Belfast BT1 3AF, UK",US,68,Excellent,01/15/2018,F,3,4,3,1,1
Ryan Buchanan,"A47, Enniskillen BT93 1QP, UK",US,49,Poor,01/15/2019,F,5,1,2,2,1
Evangeline Tyler,"5 Clooney Rd, Derry BT47 6TB, UK",US,31,Poor,01/15/2018,M,5,3,2,2,1
Amina Hill,"Diamond House, 15 Royal Ave, Belfast BT1 1FB, UK",US,63,Poor,01/15/2018,M,4,5,4,1,5
Jocelyn Duran,"17 Mountainhill Rd, Belfast BT14 8PG, UK",US,45,Excellent,01/15/2019,F,5,2,2,2,4
Keyla Carey,"27 Annadorn Rd, Downpatrick BT30 8JU, UK",US,76,Improved,01/15/2018,M,2,4,5,4,2
Emanuel Kelly,"9 Tully, Irvinestown, Enniskillen BT94 1RE, UK",US,54,Excellent,01/15/2018,M,3,2,2,2,3
Alani Leonard,"17 Gillespie Ct, Comber, Newtownards BT23 5GL, UK",IRL,81,Excellent,01/15/2019,F,3,3,5,2,2
Killian Joseph,"8 Rowley Cl, Newcastle BT33 0UE, UK",IRL,41,Poor,01/15/2018,F,1,1,4,3,5
Joe Coleman,"48 Dalriada Dr, Newtownabbey BT37 0QA, UK",IRL,82,Excellent,01/15/2019,F,3,1,3,4,1
Tyson Harris,"32 Sheridan Rd, Enniskillen BT94 2JG, UK",IRL,43,Improved,01/15/2019,M,2,3,5,2,5
Tessa Dominguez,"9 Ballougry Rd, Derry BT48, UK",IRL,72,Excellent,01/15/2018,F,5,3,1,1,5
Adrien Cole,"23 Skyline Dr, Lisburn BT27 4HH, UK",US,49,Improved,01/15/2018,M,4,5,2,4,1
Yadiel Boyd,"4 University Gardens, Coleraine BT52 1JT, UK",US,48,Improved,01/15/2018,M,2,1,5,5,5
Ansley Delacruz,"7 Dunclare Heights, Dungannon BT71 7QW, UK",US,51,Poor,01/15/2018,F,4,3,5,5,1
Melody Terrell,"32 Mulberry Park, Dunmurry, Belfast BT17 0DJ, UK",US,55,Improved,01/15/2019,F,5,3,5,4,3
Azul Atkinson,"2 Oakley Ave, Holywood BT18 9FF, UK",US,27,Poor,01/15/2018,M,3,2,1,1,4
Melany Frederick,"3-13 Drumbeg Dr, Lisburn BT28 1PQ, UK",US,46,Poor,01/15/2018,M,5,3,2,5,2
Erin Lynn,"20 Market St, Moneymore, Magherafelt BT45 7PE, UK",IRL,51,Poor,01/15/2019,F,5,5,2,5,3
Bethany Collier,"6 McCartney Park, Derry BT48 0AE, UK",IRL,28,Excellent,01/15/2019,F,5,5,5,5,2
Brynn Evans,"20-24 Steedstown Rd, Lisburn BT28, UK",US,73,Improved,01/15/2018,M,3,3,1,4,1
Aleah Koch,"133 Windmill Rd, Hillsborough BT26 6NP, UK",US,39,Poor,01/15/2018,M,1,3,3,2,1
Francisco Gallegos,"54 Killyvally Rd, Garvagh, Coleraine BT51 5LX, UK",US,28,Poor,01/15/2018,M,3,1,3,1,3
Colby Sloan,"10 Ivybank Rd, Moneymore, Magherafelt BT45 7YS, UK",IRL,44,Poor,01/15/2018,M,3,2,4,3,1
Haleigh Morales,"5 Kilclean Rd, Castlederg BT81, UK",IRL,68,Improved,01/15/2018,F,3,3,1,4,1
Amelie Jacobs,"75-77 Kilskeery Rd, Omagh BT78 3RH, UK",IRL,49,Excellent,01/15/2018,M,2,4,3,4,1
Sawyer Yates,"2 Carnhill Grove, Glengormley, Newtownabbey BT36 6LS, UK",IRL,49,Improved,01/15/2018,F,4,5,4,3,1
Kamora Lawson,"2A Ballymaginaghy Rd, Castlewellan BT31 9BH, UK",IRL,37,Poor,01/15/2018,F,3,5,3,4,3
Mitchell Welch,"19 Ballyblack Rd E, Newtownards BT22 2AB, UK",US,52,Improved,01/15/2018,M,5,1,2,5,5
Yuliana Maldonado,"47 Kevlin Ave, Omagh BT78 1ER, UK",IRL,47,Poor,01/15/2018,M,2,5,5,4,1
Eugene Peters,"8 Cortreasla Rd, Silverbridge, Newry BT35 9LZ, UK",IRL,33,Excellent,01/15/2018,F,4,5,3,2,4
Haylie Salinas,"30 Osborne St, Derry BT48 0HT, UK",US,44,Poor,01/15/2018,M,2,4,3,3,1
Phoenix Cardenas,"2 Sandyholme Way, Glengormley, Newtownabbey BT36 5BH, UK",US,30,Poor,01/15/2018,F,5,3,1,4,3
Alicia Christensen,"14 Drumclay Rd, Enniskillen BT74 6NG, UK",IRL,69,Excellent,01/15/2018,F,3,1,4,4,2
Amaris Kim,"26 Derrybeg Lane, Newry BT35 6JW, UK",US,61,Excellent,01/15/2018,M,5,5,4,5,5
Grant Webster,"279 Gola Rd, Enniskillen BT92 0PD, UK",IRL,31,Poor,01/15/2019,M,3,1,1,4,3
Phoebe Peck,"121 Hightown Rd, Newtownabbey BT36 7AU, UK",IRL,27,Poor,01/15/2018,M,5,4,1,5,1
Messiah Odom,"14 Abbots Dr, Newtownabbey BT37 9RD, UK",IRL,75,Improved,01/15/2018,F,1,2,5,4,3
Miguel Hooper,"26 Colinward St, Belfast BT12 7EP, UK",US,30,Improved,01/15/2019,M,1,3,3,2,3
Terrence Lewis,"98 Ballygassoon Rd, Armagh BT61 8LZ, UK",US,75,Poor,01/15/2018,M,5,4,4,5,5
Blaine Drake,"5 Old Mill Cl, Rathfriland, Newry BT34 5FB, UK",IRL,41,Improved,01/15/2019,M,3,2,1,2,3
Jadyn Bailey,"299 Moorlough Rd, Newtownbutler, Enniskillen BT92 8JW, UK",US,28,Poor,01/15/2019,M,4,3,3,4,3
Ayana Boyle,"2-22 Drumragh End, Castlereagh, Belfast BT6 0EB, UK",IRL,26,Improved,01/15/2018,M,4,4,4,4,3
Micaela Benson,"30 Lisleen Rd, Castlederg BT81 7QN, UK",US,58,Excellent,01/15/2018,M,4,3,3,5,1
Kierra Ware,"12 Kernan Rd, Gilford, Craigavon BT63 6BU, UK",US,35,Excellent,01/15/2019,F,1,4,3,2,5
Thomas Pratt,"200-212 Old Belfast Rd, Bangor BT19, UK",US,53,Improved,01/15/2018,M,1,5,1,5,3
Lilah Barron,"34 Garden St, Magherafelt BT45 5DD, UK",IRL,81,Excellent,01/15/2019,M,3,4,1,1,2
Miranda Shields,"115 Mount Eden, Limavady BT49 0TN, UK",IRL,62,Excellent,01/15/2018,M,1,4,3,2,5
Jakob Spencer,"25 Bridle Loanan, Warrenpoint, Newry BT34 3PD, UK",US,56,Excellent,01/15/2018,M,4,2,3,4,2
Gage Park,"1 Blackslee Ct, Derrygonnelly, Enniskillen BT93 6HT, UK",IRL,47,Excellent,01/15/2018,M,2,2,1,2,5
Elliot Hoover,"23 Orchard Park, Portadown, Craigavon BT62 3JU, UK",IRL,26,Excellent,01/15/2019,M,3,1,4,2,1
Shane Chase,"5 Brown Dr, Maghera BT46 5HQ, UK",US,40,Poor,01/15/2019,F,3,5,1,2,3
Hayley Poole,"27 Montgomery Dr, Lisburn BT27 5HR, UK",IRL,78,Poor,01/15/2018,F,2,3,4,5,4
Jaden Rowe,"1 Trasna Park, Enniskillen BT74 7NG, UK",IRL,42,Improved,01/15/2018,M,3,1,2,3,3
Shelby Boone,"17 Bryandrum Rd, Armagh BT60, UK",IRL,72,Improved,01/15/2018,F,3,2,2,2,3
Uriah Cobb,"6 Cotter's Bridge, Bessbrook, Newry BT35 7GZ, UK",US,43,Poor,01/15/2018,M,4,1,1,2,5
Rylee Short,"9 Mullaghacall Rd, Portstewart BT55 7EG, UK",US,38,Improved,01/15/2019,M,5,3,1,4,2
Alissa Pineda,"39 Silverbridge Rd, Silverbridge, Newry BT35 9LG, UK",US,68,Poor,01/15/2018,F,1,3,4,5,1
Geovanni Mcdonald,"24 Mount Charles, Belfast BT7 1NZ, UK",IRL,53,Poor,01/15/2019,M,1,3,3,1,3
Zara Contreras,"67-93 Kinrush Rd, Cookstown BT80, UK",IRL,80,Improved,01/15/2018,M,3,1,3,1,4
Aniya Green,"5 Albertville Dr, Belfast BT14 7BX, UK",IRL,84,Poor,01/15/2018,F,5,3,1,4,2
Adyson Hatfield,"38 Boolawater Road, Enniskillen BT93 8AW, UK",US,53,Excellent,01/15/2018,M,2,2,2,2,2
Cloe Rich,"30 Lord Warden's Manor, Bangor BT19 1YW, UK",IRL,53,Improved,01/15/2019,M,5,4,3,2,5
Jazmin Alvarez,"94 Letter Road, Enniskillen BT93, UK",IRL,65,Poor,01/15/2018,M,1,3,2,5,1
Leonel Riley,"50 Comber Rd, Killinchy, Newtownards BT23 6PB, UK",US,46,Excellent,01/15/2019,F,1,5,3,1,1
Charlotte Irwin,"97 Laharna Ave, Larne BT40 1NY, UK",IRL,39,Poor,01/15/2018,F,5,5,5,1,1
Elias Kirk,"6 Cloverhill Glen, Bangor BT19 6XX, UK",IRL,71,Excellent,01/15/2018,M,4,1,4,2,1
Charles Greene,"11 Castlehill Grove, Ballymoney BT53 6SZ, UK",IRL,55,Excellent,01/15/2018,F,1,1,3,2,5
Jairo Griffith,"6 Steeple Gardens, Antrim BT41 1BW, UK",US,70,Improved,01/15/2019,M,3,2,1,3,4
Audrina Harmon,"12 Millbrook Rd, Omagh BT78, UK",IRL,58,Excellent,01/15/2018,M,2,2,5,2,1
Matteo Trujillo,"12 Castle Hill Park, Ballygawley, Dungannon BT70 2LN, UK",IRL,73,Poor,01/15/2019,F,5,1,2,5,2
Aracely Reed,"14 Drumard Park, Tamlaght O'Crilly, Upperlands, Maghera BT46 5XW, UK",US,62,Improved,01/15/2019,F,3,2,1,4,4
Alexis Daniels,"Evangelical Bookshop, 8 Dublin Rd, Enniskillen BT74 6HH, UK",US,50,Poor,01/15/2019,M,2,5,2,2,1
Titus Olsen,"90 Drumnaquoile Rd, Ballynahinch BT24 8QP, UK",US,53,Poor,01/15/2018,M,5,2,1,2,3
Casey Mendez,"Ned Road, Enniskillen BT92 9NG, UK",US,79,Poor,01/15/2018,M,3,1,2,1,3
Ariana Nichols,"11 Brandon Grove, Bangor BT19 7SN, UK",IRL,84,Excellent,01/15/2018,M,1,5,1,4,3
Yaritza Diaz,"53 Westbourne Cres, Coleraine BT51 3HQ, UK",US,50,Improved,01/15/2019,F,2,3,5,5,4
Braeden Leblanc,"1 Wellington Park Cl, Moira, Craigavon BT67 0UN, UK",US,64,Excellent,01/15/2018,F,2,5,2,5,2
Asher Jennings,"12-16 Milltown Rd, Downpatrick BT30 7EE, UK",US,41,Excellent,01/15/2019,F,4,5,1,3,5
Leila Atkins,"1 Meadow Hill, Newtownstewart, Omagh BT78 4HF, UK",US,59,Excellent,01/15/2019,M,5,3,2,5,2
Maximillian Frey,"7 Gortgranagh Dr, Coleraine BT51 3NQ, UK",IRL,67,Poor,01/15/2018,M,1,5,4,5,5
Saniyah Medina,"4 Church View, Dromore BT25 1AB, UK",IRL,30,Improved,01/15/2019,M,4,3,2,2,2
Tristan Marshall,"30 Islandhill Rd, Millisle, Newtownards BT22 2BS, UK",US,42,Improved,01/15/2019,M,5,1,3,5,4
Ashanti Haley,"22-40 Church St, Armagh BT60 3UP, UK",US,63,Improved,01/15/2019,M,5,1,3,1,1
Adalynn Cook,"188 Hillhall Rd, Lisburn BT27 5JA, UK",IRL,33,Excellent,01/15/2018,M,3,5,5,1,5
Rene Nixon,"91 Kimberley St, Belfast BT7 3DZ, UK",US,35,Improved,01/15/2018,M,4,5,5,4,2
Azaria Simpson,"18 Ardglen Park, Derry BT48 0AX, UK",US,42,Excellent,01/15/2018,M,3,4,4,4,2
Elvis Caldwell,"10 Hesketh Gardens, Belfast BT14 7JT, UK",IRL,85,Improved,01/15/2018,F,4,4,5,1,5
Miles Travis,"34 Corcrain Dr, Portadown, Craigavon BT62 4AW, UK",IRL,77,Improved,01/15/2018,M,3,5,2,4,1
Kale Barnes,"21 Old Channel Rd, Belfast BT3 9DE, UK",US,27,Excellent,01/15/2018,F,4,2,1,3,5
Damion Jimenez,"5 College Ct, Belfast BT1 6BS, UK",IRL,54,Poor,01/15/2019,F,4,1,4,3,4
Alonzo Bartlett,"46-58 Drumenny Rd, Cookstown BT80 0BY, UK",IRL,82,Poor,01/15/2018,M,4,3,3,4,4
Marco Chung,"7 Magheraboy Walk, Portrush BT56 8FZ, UK",US,40,Poor,01/15/2018,F,1,1,2,2,5
Cannon Hurst,"86 Lisnacroppan Rd, Ballynaskeagh, Banbridge BT32 5DA, UK",IRL,72,Improved,01/15/2019,M,1,4,4,5,4
Gisselle Deleon,"7 Craigmore Way, Belfast BT7 1PE, UK",US,81,Improved,01/15/2019,M,3,5,1,3,5
Jaidyn Webb,"35 Abbeycroft Dr, Newtownabbey BT37 0YL, UK",US,50,Excellent,01/15/2018,F,2,5,4,4,1
Felix Ballard,"74 Balloo Walk, Bangor BT19 7HL, UK",IRL,84,Improved,01/15/2019,M,5,1,1,4,1
Milton Mccarty,"52a Carnhill, Derry BT48, UK",IRL,69,Improved,01/15/2018,F,5,5,1,5,1
Joselyn Fernandez,"10 Balmoral Ave, Belfast BT9 7GR, UK",IRL,76,Improved,01/15/2018,F,3,1,2,3,2
Hailie Mcdowell,"30 Bann Rd, Kilrea, Coleraine BT51 5RX, UK",US,78,Excellent,01/15/2019,M,3,3,4,5,5
Kennedy Lynch,"5 Ritchies Villas, Magherafelt BT45 6ER, UK",US,74,Excellent,01/15/2018,F,1,5,3,3,3
Mylie Vaughan,"Larne Rd, Milbrook, Larne BT40 2SL, UK",IRL,74,Poor,01/15/2018,M,5,3,1,5,4
Braylon Sosa,"2 Quarry Rd, Dungannon BT70 1QJ, UK",US,57,Poor,01/15/2019,M,1,1,3,2,1
Aisha Burke,"10-12 Dublin Rd, Antrim BT41, UK",IRL,39,Excellent,01/15/2018,M,3,3,1,4,1
Lamar Stephens,"6 Beechill Grove, Lisburn BT28 3UB, UK",IRL,75,Poor,01/15/2018,F,5,5,3,1,2
Kyle Downs,"75-97 Straid Rd, Ballymena BT42 2JQ, UK",IRL,39,Excellent,01/15/2018,M,1,3,3,3,5
Katrina Howell,"4 Tobergel Ln, Larne BT40 2LQ, UK",US,29,Excellent,01/15/2018,F,4,3,1,4,4
Rishi Golden,"224 Roden St, Belfast BT12 5QE, UK",IRL,66,Improved,01/15/2019,M,1,4,3,2,4
Sage Arroyo,"15 Main St, Carnteel, Aughnacloy BT69 6EA, UK",US,83,Improved,01/15/2018,F,3,2,4,4,3
Kirsten Graham,"4 Chestnut Way, Larne BT40 2SE, UK",IRL,42,Improved,01/15/2018,F,1,3,5,4,2
